,album_id,album_name,album_release_date,album_total_tracks,album_external_urls
0,0HiZ8fNXwJOQcrf5iflrdz,0HiZ8fNXwJOQcrf5iflrdz,2023-03-10,13,https://open.spotify.com/album/0HiZ8fNXwJOQcrf5iflrdz
1,4kS7bSuU0Jm9LYMosFU2x5,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,17,https://open.spotify.com/album/4kS7bSuU0Jm9LYMosFU2x5
2,1nrVofqDRs7cpWXJ49qTnP,1nrVofqDRs7cpWXJ49qTnP,2022-12-08,23,https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP
3,6cVfHBcp3AdpYY0bBglkLN,6cVfHBcp3AdpYY0bBglkLN,2023-02-03,2,https://open.spotify.com/album/6cVfHBcp3AdpYY0bBglkLN
4,35dut3ICqF3NEDkjxfzJJ1,35dut3ICqF3NEDkjxfzJJ1,2023-03-14,21,https://open.spotify.com/album/35dut3ICqF3NEDkjxfzJJ1
5,5r36AJ6VOJtp00oxSkBZ5h,5r36AJ6VOJtp00oxSkBZ5h,2022-05-20,13,https://open.spotify.com/album/5r36AJ6VOJtp00oxSkBZ5h
6,7txGsnDSqVMoRl6RQ9XyZP,7txGsnDSqVMoRl6RQ9XyZP,2022-12-02,15,https://open.spotify.com/album/7txGsnDSqVMoRl6RQ9XyZP
7,3Mm1P5CEEAiuJqBclr2EyU,3Mm1P5CEEAiuJqBclr2EyU,2023-03-16,1,https://open.spotify.com/album/3Mm1P5CEEAiuJqBclr2EyU
8,1gi2iwr1l8IUyHYHxi01pg,1gi2iwr1l8IUyHYHxi01pg,2023-01-11,1,https://open.spotify.com/album/1gi2iwr1l8IUyHYHxi01pg
9,5xefnzEqKIWnmTWYFzekGZ,5xefnzEqKIWnmTWYFzekGZ,2023-01-13,17,https://open.spotify.com/album/5xefnzEqKIWnmTWYFzekGZ
